attendance,purchase_rate,customers,purchase_amount,revenue,profit
161,0.344532,54,6.71,362.22,112.22
84,0.643854,55,3.35,184.49,-65.51
120,0.671607,80,7.68,614.29,364.29
174,0.568251,103,4.82,496.57,246.57
89,0.536839,51,7.15,364.80,114.80
86,0.521344,43,6.49,278.94,28.94
176,0.370076,66,5.59,369.26,119.26
86,0.664247,54,6.73,363.20,113.20
107,0.477353,54,7.75,418.65,168.65
172,0.320578,52,4.44,230.78,-19.22
122,0.337802,40,6.39,255.68,5.68
94,0.634675,62,5.50,340.95,90.95
83,0.357112,26,6.04,156.98,-93.02
170,0.390188,63,7.74,487.46,237.46
167,0.557324,96,6.47,620.79,370.79
80,0.598322,47,5.89,276.90,26.90
162,0.568537,94,6.93,651.33,401.33
176,0.628276,112,7.10,795.71,545.71
137,0.427564,60,4.50,270.08,20.08
96,0.580571,49,3.66,179.51,-70.49
158,0.574626,93,7.30,678.88,428.88
122,0.300585,46,6.29,289.18,39.18
129,0.408174,56,3.13,175.30,-74.70
128,0.364362,41,3.38,138.38,-111.62
123,0.626954,66,4.52,298.01,48.01
101,0.636255,68,7.38,502.01,252.01
164,0.343245,43,7.18,308.77,58.77
80,0.436543,26,7.15,185.88,-64.12
116,0.650991,75,5.11,383.39,133.39
148,0.302932,37,3.33,123.11,-126.89
158,0.573665,88,6.79,597.17,347.17
141,0.401511,55,4.53,249.33,-0.67
153,0.351298,50,5.63,281.43,31.43
146,0.626152,94,7.24,680.53,430.53
128,0.593463,77,7.41,570.93,320.93
153,0.452618,67,6.90,462.34,212.34
163,0.355431,47,5.71,268.22,18.22
98,0.322026,30,4.75,142.35,-107.65
151,0.514354,76,4.04,307.14,57.14
164,0.567842,79,6.70,529.05,279.05
143,0.601105,89,5.06,450.76,200.76
105,0.370647,38,3.20,121.47,-128.53
110,0.376761,48,7.93,380.78,130.78
138,0.643169,90,6.74,606.28,356.28
120,0.362421,42,7.85,329.73,79.73
161,0.664842,106,4.78,506.67,256.67
162,0.677290,120,4.78,573.66,323.66
161,0.381423,49,5.06,248.05,-1.95
169,0.640732,113,3.25,367.13,117.13
135,0.594356,81,7.61,616.29,366.29
140,0.346776,34,6.11,207.86,-42.14
149,0.549744,90,6.09,548.18,298.18
152,0.508702,71,6.75,479.45,229.45
143,0.686919,102,3.18,324.77,74.77
86,0.468824,43,3.98,171.01,-78.99
142,0.383695,51,3.41,173.76,-76.24
88,0.481865,47,4.84,227.63,-22.37
136,0.356102,54,7.10,383.52,133.52
104,0.320843,30,7.96,238.80,-11.20
155,0.423192,62,5.06,313.60,63.60
162,0.614033,97,7.83,759.63,509.63
164,0.659041,104,3.90,405.95,155.95
147,0.573631,90,3.21,289.06,39.06
115,0.663393,70,3.50,245.27,-4.73
179,0.675607,117,5.92,692.21,442.21
154,0.329508,54,7.19,388.11,138.11
167,0.351594,53,4.83,256.18,6.18
139,0.465174,65,7.10,461.64,211.64
154,0.617261,102,5.94,605.67,355.67
177,0.511058,98,7.29,714.64,464.64
164,0.633644,104,3.25,337.95,87.95
164,0.421172,66,4.97,328.00,78.00
109,0.336796,34,3.05,103.71,-146.29
178,0.517122,96,4.69,450.02,200.02
103,0.589483,67,5.95,398.50,148.50
96,0.379429,39,7.38,287.79,37.79
130,0.616537,79,3.21,253.70,3.70
140,0.303928,40,5.08,203.26,-46.74
120,0.659095,83,3.85,319.22,69.22
144,0.343142,55,5.13,282.12,32.12
148,0.337829,47,6.63,311.80,61.80
97,0.543882,49,5.52,270.32,20.32
119,0.677917,87,3.79,329.86,79.86
119,0.550369,61,3.56,217.00,-33.00
109,0.484321,52,4.67,242.58,-7.42
175,0.698143,114,5.08,578.62,328.62
179,0.360708,53,7.30,386.88,136.88
92,0.665669,61,3.45,210.58,-39.42
150,0.628431,91,4.12,374.90,124.90
176,0.518552,85,4.00,340.40,90.40
116,0.574244,65,4.93,320.70,70.70
115,0.575985,60,7.52,451.10,201.10
91,0.301536,30,6.96,208.74,-41.26
164,0.662145,116,3.76,435.60,185.60
133,0.556727,74,4.98,368.52,118.52
82,0.581151,54,5.40,291.53,41.53
150,0.565855,80,3.82,305.88,55.88
97,0.348404,31,3.81,118.11,-131.89
91,0.576570,55,7.88,433.19,183.19
150,0.441421,75,4.18,313.64,63.64
128,0.354362,46,4.44,204.06,-45.94
123,0.546719,63,7.90,497.53,247.53
110,0.617703,64,7.24,463.08,213.08
137,0.395592,48,3.01,144.54,-105.46
128,0.699712,87,4.40,383.09,133.09
98,0.382713,37,4.77,176.34,-73.66
132,0.513992,67,6.69,448.44,198.44
150,0.333427,59,5.63,331.90,81.90
117,0.678181,69,6.16,424.91,174.91
153,0.414734,52,5.70,296.20,46.20
133,0.688937,92,3.15,290.04,40.04
109,0.335675,31,3.66,113.56,-136.44
130,0.571499,67,6.30,421.95,171.95
131,0.365769,44,3.40,149.51,-100.49
83,0.354450,34,7.26,246.67,-3.33
141,0.354267,49,3.77,184.91,-65.09
101,0.611688,63,6.65,418.88,168.88
107,0.638537,76,4.30,326.56,76.56
156,0.401504,54,3.15,170.01,-79.99
140,0.566634,81,7.14,578.67,328.67
156,0.515296,79,6.77,534.44,284.44
102,0.531136,47,7.41,348.38,98.38
161,0.596123,98,5.57,546.20,296.20
92,0.459529,45,7.09,319.04,69.04
150,0.438645,64,4.47,285.97,35.97
131,0.666002,81,5.70,461.78,211.78
153,0.471389,73,7.57,552.61,302.61
119,0.646493,67,6.29,421.21,171.21
105,0.573943,62,6.02,373.44,123.44
119,0.503218,65,7.07,459.80,209.80
143,0.697382,95,7.54,716.51,466.51
140,0.318013,40,4.59,183.68,-66.32
132,0.569768,76,5.13,390.10,140.10
164,0.480305,73,5.90,430.50,180.50
86,0.645182,58,5.42,314.57,64.57
116,0.346810,42,4.61,193.74,-56.26
174,0.519821,87,3.29,285.80,35.80
154,0.514574,82,5.67,464.62,214.62
98,0.553323,67,5.32,356.21,106.21
128,0.673406,91,5.96,542.58,292.58
165,0.427367,84,3.63,305.15,55.15
155,0.501551,86,5.61,482.77,232.77
98,0.337137,31,4.99,154.58,-95.42
135,0.374997,58,6.57,381.18,131.18
100,0.547902,54,7.96,429.97,179.97
114,0.616043,76,4.47,339.51,89.51
176,0.455182,71,7.64,542.20,292.20
126,0.403839,49,4.88,239.21,-10.79
103,0.323855,35,3.88,135.81,-114.19
122,0.629625,86,5.27,453.06,203.06
145,0.551822,85,4.99,424.42,174.42
158,0.329948,62,6.69,414.57,164.57
129,0.602007,76,5.02,381.57,131.57
165,0.393767,63,7.42,467.55,217.55
169,0.513115,74,5.20,384.66,134.66
111,0.618161,69,4.54,313.04,63.04
173,0.315962,57,5.57,317.42,67.42
122,0.390052,53,3.45,183.00,-67.00
151,0.668624,99,4.61,456.47,206.47
155,0.402904,69,4.91,338.45,88.45
154,0.608063,96,6.19,594.23,344.23
105,0.537339,55,3.39,186.28,-63.72
108,0.506631,55,6.55,360.50,110.50
136,0.301175,41,3.07,125.69,-124.31
176,0.396480,89,4.17,370.87,120.87
133,0.466596,66,3.53,232.72,-17.28
94,0.313145,41,7.78,318.97,68.97
165,0.646973,109,3.81,415.06,165.06
135,0.415707,62,6.20,384.26,134.26
143,0.525240,86,4.89,420.89,170.89
134,0.381799,52,4.23,219.98,-30.02
97,0.449432,40,7.32,292.80,42.80
107,0.680663,83,6.67,553.51,303.51
162,0.388791,66,4.58,302.50,52.50
165,0.351414,57,3.01,171.74,-78.26
117,0.309975,34,7.19,244.56,-5.44
165,0.599015,105,4.34,455.53,205.53
81,0.535662,43,7.66,329.58,79.58
129,0.661300,96,7.80,748.77,498.77
121,0.341680,37,4.08,151.09,-98.91
91,0.514589,42,5.23,219.73,-30.27
140,0.569022,73,6.01,438.50,188.50
81,0.545075,47,5.88,276.35,26.35
97,0.521794,46,4.72,217.01,-32.99
122,0.612616,81,5.04,408.45,158.45
138,0.614885,95,7.39,702.13,452.13
80,0.375191,34,6.03,204.97,-45.03
93,0.575655,51,7.38,376.46,126.46
153,0.619852,86,6.54,562.62,312.62
100,0.510215,45,3.82,172.07,-77.93
161,0.649698,111,7.85,871.81,621.81
119,0.338092,36,5.67,204.11,-45.89
158,0.390684,55,5.03,276.43,26.43
121,0.587170,78,6.42,501.03,251.03
108,0.424066,39,7.71,300.64,50.64
136,0.603716,80,7.94,635.34,385.34
115,0.511931,59,6.10,359.76,109.76
170,0.615761,95,5.40,513.01,263.01
92,0.638054,59,3.76,222.00,-28.00
164,0.454165,73,7.04,514.17,264.17
178,0.568500,114,3.14,357.67,107.67
147,0.479911,69,6.02,415.47,165.47
177,0.492642,72,6.04,435.22,185.22
83,0.542000,47,5.60,263.14,13.14
161,0.523448,100,5.56,555.64,305.64
115,0.512610,47,3.09,145.39,-104.61
111,0.320460,31,7.55,233.95,-16.05
96,0.398267,38,5.41,205.59,-44.41
139,0.309503,48,6.61,317.11,67.11
102,0.604388,59,7.98,471.03,221.03
179,0.693320,120,6.84,820.41,570.41
87,0.686435,60,7.06,423.42,173.42
101,0.383843,30,3.80,113.90,-136.10
113,0.598451,66,5.16,340.31,90.31
170,0.418341,64,3.74,239.66,-10.34
168,0.602017,108,7.88,851.34,601.34
108,0.687470,65,4.88,317.33,67.33
85,0.642574,49,7.37,361.12,111.12
151,0.524204,81,3.60,292.00,42.00
180,0.633160,117,7.07,827.01,577.01
157,0.304151,47,5.74,269.95,19.95
83,0.327432,22,7.28,160.11,-89.89
87,0.697871,64,5.96,381.41,131.41
123,0.459350,59,5.97,352.27,102.27
169,0.556270,92,3.38,310.55,60.55
142,0.661209,98,5.92,579.85,329.85
102,0.472941,52,5.46,283.76,33.76
141,0.644797,85,7.09,602.59,352.59
112,0.385985,41,4.61,188.89,-61.11
80,0.637897,50,7.12,356.21,106.21
